,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15842,47.87486,38.86253,340.12,0.56,0.43,2022-04-01,943,1,VIIRS,n,2.0NRT,267.5,8.58,D
15843,47.88014,38.86757,325.99,0.55,0.43,2022-04-01,943,1,VIIRS,n,2.0NRT,268.78,4.68,D
15844,47.88393,38.86587,332.55,0.55,0.43,2022-04-01,943,1,VIIRS,n,2.0NRT,269.56,6.64,D
15850,47.1447,35.39241,348.05,0.54,0.51,2022-04-01,943,1,VIIRS,n,2.0NRT,286.44,7.35,D
15853,47.41489,35.86752,335.25,0.51,0.49,2022-04-01,943,1,VIIRS,n,2.0NRT,289.76,5.76,D
15854,47.7861,37.04601,331.9,0.44,0.46,2022-04-01,943,1,VIIRS,n,2.0NRT,282.11,2.8,D
15855,47.42041,35.4211,340.39,0.53,0.5,2022-04-01,943,1,VIIRS,n,2.0NRT,292.97,11.5,D
15856,47.42305,35.41203,340.09,0.53,0.5,2022-04-01,943,1,VIIRS,n,2.0NRT,289.76,9.28,D
15857,47.79417,36.88956,334.7,0.45,0.47,2022-04-01,943,1,VIIRS,n,2.0NRT,286.55,2.54,D
15858,47.79823,36.88741,329.2,0.45,0.47,2022-04-01,943,1,VIIRS,n,2.0NRT,285.57,2.54,D
15859,47.80367,36.891,340.74,0.45,0.47,2022-04-01,943,1,VIIRS,n,2.0NRT,286.17,4.56,D
15860,47.80093,36.87958,341.67,0.45,0.47,2022-04-01,943,1,VIIRS,n,2.0NRT,287.86,9.4,D
15861,47.88849,36.75305,328.77,0.45,0.47,2022-04-01,943,1,VIIRS,n,2.0NRT,285.01,2.38,D
15862,48.5094,39.1538,347.57,0.52,0.42,2022-04-01,943,1,VIIRS,n,2.0NRT,265.63,17.77,D
15863,47.94017,36.18501,344.4,0.47,0.48,2022-04-01,943,1,VIIRS,n,2.0NRT,278.8,5.86,D
15864,45.90218,29.03871,336.38,0.56,0.69,2022-04-01,943,1,VIIRS,n,2.0NRT,290.91,7.49,D
15865,45.89997,29.03204,353.53,0.56,0.69,2022-04-01,943,1,VIIRS,n,2.0NRT,293.11,7.49,D
15866,47.34416,33.29929,343.23,0.33,0.55,2022-04-01,943,1,VIIRS,n,2.0NRT,281.26,5.09,D
15867,47.34301,33.29514,353.07,0.33,0.55,2022-04-01,943,1,VIIRS,n,2.0NRT,287.37,5.09,D
15868,47.34885,33.2963,345.18,0.33,0.55,2022-04-01,943,1,VIIRS,n,2.0NRT,281.91,5.09,D
15869,46.09489,28.99717,337.65,0.55,0.68,2022-04-01,943,1,VIIRS,n,2.0NRT,292.49,4.76,D
15870,48.34524,36.6312,327.28,0.44,0.46,2022-04-01,943,1,VIIRS,n,2.0NRT,281.46,6.91,D
15871,48.34388,36.62549,351.89,0.44,0.46,2022-04-01,943,1,VIIRS,n,2.0NRT,281.7,6.91,D
15872,48.34428,36.62912,340.37,0.44,0.46,2022-04-01,943,1,VIIRS,n,2.0NRT,280.89,6.88,D
15873,48.3429,36.62343,340,0.44,0.46,2022-04-01,943,1,VIIRS,n,2.0NRT,281.92,8,D
15875,48.951,38.53965,344.1,0.54,0.42,2022-04-01,943,1,VIIRS,n,2.0NRT,281.89,38.58,D
15876,48.24162,34.98198,339.01,0.52,0.5,2022-04-01,943,1,VIIRS,n,2.0NRT,287.37,5.71,D
15877,48.23994,34.9754,329.87,0.52,0.5,2022-04-01,943,1,VIIRS,n,2.0NRT,289.87,5.51,D
15878,48.50016,35.91718,343.04,0.47,0.48,2022-04-01,943,1,VIIRS,n,2.0NRT,282.65,10.37,D
15879,48.5043,35.91485,342.73,0.47,0.48,2022-04-01,943,1,VIIRS,n,2.0NRT,282.37,9.29,D
15880,48.33988,34.0032,343.14,0.57,0.52,2022-04-01,943,1,VIIRS,n,2.0NRT,296.16,12.12,D
15884,48.50665,34.21863,339.69,0.55,0.51,2022-04-01,943,1,VIIRS,n,2.0NRT,290.84,9.78,D
15885,48.50475,34.21141,336.91,0.55,0.51,2022-04-01,943,1,VIIRS,n,2.0NRT,292.61,9.78,D
15886,48.51104,34.21593,329.87,0.55,0.51,2022-04-01,943,1,VIIRS,n,2.0NRT,290.16,6.86,D
15887,47.30456,30.01717,329.61,0.46,0.63,2022-04-01,943,1,VIIRS,n,2.0NRT,289.83,3.87,D
15888,47.30283,30.01162,337.1,0.46,0.63,2022-04-01,943,1,VIIRS,n,2.0NRT,290.44,5.88,D
15889,47.30452,30.01529,335.55,0.46,0.63,2022-04-01,943,1,VIIRS,n,2.0NRT,290.3,3.66,D
15890,47.30276,30.00978,340.27,0.46,0.63,2022-04-01,943,1,VIIRS,n,2.0NRT,290.43,3.66,D
15893,48.48249,33.85118,345.94,0.58,0.52,2022-04-01,943,1,VIIRS,n,2.0NRT,299.53,55.08,D
