,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
24,47.06544,37.48429,298.34,0.51,0.66,2022-04-04,39,1,VIIRS,n,2.0NRT,273.57,0.74,N
25,47.0669,37.48679,300.3,0.51,0.66,2022-04-04,39,1,VIIRS,n,2.0NRT,274.51,1.3,N
28,50.57866,30.12785,303.3,0.4,0.44,2022-04-04,39,1,VIIRS,n,2.0NRT,270.58,1.12,N
30,51.53313,31.34058,327.9,0.42,0.45,2022-04-04,39,1,VIIRS,n,2.0NRT,260.82,3.5,N
60,46.50589,30.70396,326.87,0.54,0.5,2022-04-04,41,1,VIIRS,n,2.0NRT,272.08,3.91,N
20842,45.18877,35.28319,344.84,0.39,0.36,2022-04-04,1026,1,VIIRS,n,2.0NRT,296.12,9.48,D
20843,46.18554,33.15022,327.21,0.4,0.37,2022-04-04,1026,1,VIIRS,n,2.0NRT,287.13,2.51,D
20844,46.1934,33.11464,346.37,0.4,0.37,2022-04-04,1026,1,VIIRS,n,2.0NRT,291.4,12.23,D
20845,45.49419,29.44611,334.6,0.54,0.42,2022-04-04,1026,1,VIIRS,n,2.0NRT,288.41,7.18,D
20846,46.26047,33.37812,331.07,0.4,0.37,2022-04-04,1026,1,VIIRS,n,2.0NRT,290.65,1.93,D
